"Timestamp","Goods or service","Did you make the purchase?","Price:","How much money do you have in total?","Category","If Other, please specify:","Need or Want?","If want, how much do you WANT the item? (1 being the least, 3 being the most)","Gender","Age","Monthly Income ","Monthly Budget for your NEEDS","Monthly Budget for your WANTS","Status","Comments:"
"2019/03/23 10:02:35 pm CET","Goods","Yes","38","230","Home (decors, household equipments, home repairs etc)","","Need","NEED","Female","43","2900","90","5","Single Parent",""
"2019/03/23 10:06:56 pm CET","Service","No","150","500","Technology","","Want","1","Female","36","3200","70","10","Married Parent",""
"2019/03/23 10:09:51 pm CET","Goods","Yes","50","200","Food & Drink","","Need","NEED","Female","26","2800","75","15","Married (no children)",""
"2019/03/23 10:30:21 pm CET","Goods","No","47","230","Personal Development","","Want","3","Male","20","300","70","20","Single",""
"2019/03/23 10:32:35 pm CET","Service","Yes","2.50","30","Transport","","Need","NEED","Female","16","200","80","20","Single",""
"2019/03/23 10:33:58 pm CET","Service","Yes","15","300","Clothing","","Want","3","Female","21","400","60","25","Single",""
"2019/03/23 10:35:00 pm CET","Goods","Yes","28","42","Food & Drink","","Need","NEED","Male","38","2400","80","5","Married Parent",""
"2019/03/23 10:35:55 pm CET","Service","Yes","16","100","Books & Education","","Want","3","Female","36","2900","75","15","Married Parent",""
"2019/03/23 10:38:13 pm CET","Service","No","300","260","Technology","","Want","3","Male","32","3000","75","10","Single Parent",""
"2019/03/23 10:39:11 pm CET","Goods","Yes","50","400","Books & Education","","Need","NEED","Female","28","2800","70","10","Married (no children)",""
"2019/03/23 10:48:09 pm CET","Goods","Yes","1900","1000","Transport","","Want","2","Female","49","2000","40","40","Married Parent",""
"2019/03/23 10:49:36 pm CET","Service","Yes","530","800","Other (please specify below)","hotel accomodation","Need","3","Female","49","2000","40","40","Married Parent",""
"2019/03/23 10:55:47 pm CET","Goods","Yes","100","1000","Food & Drink","","Need","NEED","Male","50","4000","30","30","Married Parent",""
"2019/03/23 11:12:43 pm CET","Goods","Yes","50","3000","Food & Drink","","Need","NEED","Male","50","4000","30","30","Married Parent",""
"2019/03/23 11:13:43 pm CET","Goods","Yes","220","3000","Health & Beauty","","Need","NEED","Male","50","4000","30","30","Married Parent",""
"2019/03/23 11:15:05 pm CET","Service","Yes","90","1000","Health & Beauty","","Need","NEED","Female","49","2000","40","40","Married Parent",""
"2019/03/24 12:40:28 am CET","Service","Yes","45","50","Clothing","","Want","2","Male","18","500","","","Single",""
"2019/03/24 12:41:39 am CET","Service","No","145","100","Personal Development","","Want","3","Female","19","650","50","10","Single",""
"2019/03/24 12:56:18 am CET","Goods","Yes","5","50","Food & Drink","","Need","NEED","Male","16","200","","","Single",""
"2019/03/24 12:58:06 am CET","Service","Yes","20","60","Transport","","Need","NEED","Female","19","250","","","Single",""
"2019/03/24 1:00:22 am CET","Service","No","13.50","50","Health & Beauty","","Want","3","Female","21","600","","","Single",""
"2019/03/24 1:01:10 am CET","Goods","Yes","38","100","Food & Drink","","Need","NEED","Male","63","2000","","","Married Parent",""
"2019/03/24 1:01:55 am CET","Goods","Yes","25","250","Food & Drink","","Want","3","Female","60","2100","","","Married Parent",""
"2019/03/24 1:02:39 am CET","Service","Yes","45","520","Health & Beauty","","Want","3","Female","22","1200","","","Single",""
"2019/03/24 1:07:27 am CET","Service","No","125","80","Technology","","Want","2","Male","25","1000","","","Single",""
"2019/03/24 1:10:30 am CET","Service","No","56","115","Health & Beauty","","Want","2","Female","21","750","","","Single",""
"2019/03/24 1:11:24 am CET","Goods","Yes","45","350","Technology","","Need","NEED","Female","41","3000","","","Married Parent",""
"2019/03/24 1:12:47 am CET","Goods","Yes","13","150","Food & Drink","","Want","3","Male","38","2500","","","Married Parent",""
"2019/03/24 1:13:33 am CET","Goods","Yes","23","100","Clothing","","Want","3","Male","31","2600","","","Married (no children)",""
"2019/03/24 1:15:33 am CET","Service","Yes","20","60","Transport","","Need","NEED","Male","18","150","80","20","Single",""
"2019/03/24 1:16:30 am CET","Service","Yes","15","100","Books & Education","","Want","3","Female","21","400","75","10","Single",""
"2019/03/24 1:17:23 am CET","Service","Yes","27","80","Personal Development","","Need","NEED","Male","20","550","50","10","Single",""
"2019/03/24 1:19:46 am CET","Goods","No","20","250","Home (decors, household equipments, home repairs etc)","","Want","3","Male","33","2900","70","15","Married Parent",""
"2019/03/24 1:21:35 am CET","Service","Yes","500","1000","Other (please specify below)","tattoo","Want","3","Male","28","2500","80","10","Married Parent",""
"2019/03/24 1:23:59 am CET","Goods","Yes","50","100","Health & Beauty","","Want","3","Male","23","2500","70","10","Single Parent",""
"2019/03/24 1:24:57 am CET","Goods","Yes","500","600","Home (decors, household equipments, home repairs etc)","","Need","NEED","Male","29","3000","70","15","Married Parent",""
"2019/03/24 1:25:39 am CET","Service","Yes","50","150","Clothing","","Need","NEED","Female","23","2500","70","15","Single",""
"2019/03/25 4:45:05 pm CET","Goods","Yes","5","50","Food & Drink","","Need","NEED","Male","20","250","80","5","Single",""
"2019/03/25 4:46:01 pm CET","Goods","Yes","7.50","20","Food & Drink","","Need","NEED","Male","21","300","80","5","Single",""
"2019/03/25 4:46:56 pm CET","Service","Yes","58","100","Personal Development","","Want","3","Male","26","2300","80","10","Married (no children)",""
"2019/03/25 4:48:02 pm CET","Goods","Yes","35","80","Food & Drink","","Need","NEED","Female","27","3000","85","5","Married Parent",""
"2019/03/25 4:48:49 pm CET","Service","Yes","7","120","Clothing","","Want","2","Male","23","700","70","5","Single",""
"2019/03/25 4:49:48 pm CET","Goods","Yes","45","60","Health & Beauty","","Want","3","Female","22","400","80","10","Single",""
"2019/03/25 4:50:44 pm CET","Goods","No","350","500","Personal Development","","Want","1","Female","45","3200","70","10","Single Parent",""
"2019/03/25 4:51:45 pm CET","Goods","Yes","25","120","Health & Beauty","","Need","NEED","Female","37","2800","60","10","Single",""
"2019/03/25 4:52:46 pm CET","Service","Yes","80","100","Experiences","","Want","3","Male","28","1700","40","10","Single",""
